Keypoint Pair,Motif 0,Motif 1,Motif 2,Motif 3,Motif 4,Motif 5,Motif 6,Motif 7,Motif 8,Motif 9
r-eye - l-eye,7.34,9.60,8.80,10.77,8.19,9.44,7.71,6.12,9.94,8.88
l_ear - l-eye,22.72,12.25,8.88,17.26,12.28,13.52,33.51,11.98,12.75,13.35
l_ear - r-eye,29.65,19.67,16.00,26.69,16.13,6.50,39.38,17.97,19.67,18.33
r_ear - l-eye,13.01,17.35,15.43,21.25,20.23,16.37,14.70,12.51,19.26,16.26
r_ear - r-eye,7.27,9.12,7.43,13.73,12.85,7.08,8.23,8.92,11.00,8.73
r_ear - l_ear,33.50,24.71,20.67,32.35,22.25,5.89,43.87,21.55,24.42,20.72
mouth - l-eye,7.67,10.48,8.75,10.44,6.12,13.34,9.68,5.15,9.44,10.03
mouth - r-eye,10.54,11.26,9.70,12.93,10.71,16.19,9.80,9.15,10.30,11.93
mouth - l_ear,25.47,21.24,15.74,24.61,17.83,16.92,38.95,12.47,21.43,19.29
mouth - r_ear,16.48,19.80,16.07,25.59,23.39,21.05,16.53,16.41,20.97,18.97
center_neck - l-eye,15.25,15.78,15.56,15.16,25.89,22.85,16.26,15.04,15.89,16.58
center_neck - r-eye,18.92,16.25,15.50,19.69,24.45,24.06,16.44,19.83,15.98,19.91
center_neck - l_ear,23.98,17.98,14.53,14.66,17.61,23.02,35.07,9.26,13.02,17.96
center_neck - r_ear,23.62,18.12,15.77,25.88,21.30,27.04,16.85,25.27,15.62,24.57
center_neck - mouth,9.44,15.32,14.79,19.44,30.64,9.70,15.17,11.23,21.18,10.68
l_sho - l-eye,30.98,24.47,20.91,35.90,24.29,31.11,24.27,27.84,21.21,33.63
l_sho - r-eye,36.24,32.62,28.49,45.92,28.13,34.22,30.63,32.01,30.23,38.03
l_sho - l_ear,33.01,20.24,15.41,27.38,13.40,31.85,33.11,25.25,14.08,27.03
l_sho - r_ear,42.20,39.00,33.46,56.00,31.29,36.89,35.98,39.98,36.94,42.13
l_sho - mouth,28.91,28.01,23.51,37.87,29.40,28.37,27.32,24.40,27.53,31.98
l_sho - center_neck,24.83,26.12,20.94,32.05,15.47,29.14,24.68,20.36,24.92,26.07
r_sho - l-eye,26.31,31.51,25.85,36.55,26.81,36.61,29.15,24.76,29.28,26.50
r_sho - r-eye,25.52,23.09,17.96,29.39,18.86,32.48,22.90,28.16,20.03,22.35
r_sho - l_ear,37.56,39.77,31.58,43.35,33.05,30.91,56.82,15.91,37.37,31.24
r_sho - r_ear,26.40,18.78,13.68,25.48,13.19,29.55,18.90,29.36,15.21,21.72
r_sho - mouth,23.08,27.76,21.75,34.45,27.46,31.77,25.99,22.95,26.76,23.00
r_sho - center_neck,21.02,28.18,22.70,32.73,34.03,31.03,26.69,15.13,27.09,25.03
r_sho - l_sho,45.04,50.76,41.47,58.63,43.48,47.13,48.60,33.87,48.47,44.75
l-elb - l-eye,58.18,42.91,36.09,62.69,19.78,59.46,44.21,53.48,31.16,62.76
l-elb - r-eye,62.78,48.26,41.38,69.39,26.85,66.92,48.63,57.38,37.38,67.85
l-elb - l_ear,52.78,46.59,37.84,62.29,20.35,68.69,42.91,49.80,37.43,61.90
l-elb - r_ear,69.00,56.44,47.51,81.74,37.74,72.84,55.68,65.48,47.62,74.15
l-elb - mouth,53.51,38.03,31.99,56.98,19.08,52.33,40.19,49.14,27.72,57.35
l-elb - center_neck,47.56,45.39,37.48,60.24,34.43,50.16,45.50,43.03,42.12,51.95
l-elb - l_sho,31.05,33.58,27.97,39.20,24.66,54.25,31.91,27.11,30.71,41.90
l-elb - r_sho,64.28,60.78,49.50,77.80,44.76,71.61,62.59,52.94,52.54,71.93
r-elb - l-eye,35.83,44.01,35.38,44.12,40.23,84.03,44.01,16.61,33.91,52.10
r-elb - r-eye,32.37,38.39,30.86,37.14,34.23,81.24,39.43,11.62,27.29,49.26
r-elb - l_ear,52.51,53.70,41.75,58.60,49.96,77.35,68.30,27.65,44.02,56.65
r-elb - r_ear,33.83,40.74,31.94,41.85,33.81,79.60,40.84,14.10,31.22,50.62
r-elb - mouth,31.90,34.91,27.15,36.92,37.84,71.70,36.10,17.87,25.79,44.08
r-elb - center_neck,35.69,41.42,32.24,50.07,53.76,62.64,42.30,27.25,38.60,44.45
r-elb - l_sho,53.97,56.23,43.88,69.26,60.69,73.59,57.63,39.68,48.62,57.09
r-elb - r_sho,31.32,29.11,24.06,39.45,22.40,63.54,30.42,31.55,25.13,42.37
r-elb - l-elb,66.63,49.67,37.49,74.24,55.03,86.42,57.41,60.96,42.76,64.34
l-hand - l-eye,84.25,64.79,53.58,79.42,33.89,93.69,71.51,80.80,50.40,85.70
l-hand - r-eye,87.68,66.17,54.63,81.78,39.96,99.13,72.75,83.49,51.28,88.92
l-hand - l_ear,75.09,71.20,58.00,84.67,37.79,99.43,59.57,79.27,59.97,87.32
l-hand - r_ear,94.01,73.31,59.16,93.80,51.56,103.59,78.89,91.96,60.40,95.00
l-hand - mouth,78.37,55.86,45.89,70.45,30.17,83.08,63.97,76.11,42.14,77.80
l-hand - center_neck,73.14,65.23,53.08,78.02,50.93,77.07,70.96,71.54,60.76,73.33
l-hand - l_sho,60.69,61.19,51.37,67.71,42.47,85.29,63.95,55.63,56.50,69.36
l-hand - r_sho,86.70,70.16,55.08,86.86,55.03,96.40,80.03,81.04,59.01,88.04
l-hand - l-elb,32.04,31.27,26.98,35.65,18.41,40.99,34.07,31.12,30.08,35.57
l-hand - r-elb,80.78,48.63,33.47,69.76,59.89,82.14,64.48,83.31,39.32,70.40
r-hand - l-eye,59.77,61.70,52.27,64.43,55.56,110.10,65.05,41.63,50.71,76.87
r-hand - r-eye,56.76,60.54,51.74,61.87,50.72,109.83,63.87,36.67,49.83,75.60
r-hand - l_ear,73.59,70.69,57.88,76.38,65.12,107.08,83.80,52.90,60.64,81.53
r-hand - r_ear,58.58,66.28,55.33,71.22,49.99,110.06,67.82,38.09,58.06,78.31
r-hand - mouth,54.79,51.80,44.10,55.91,53.15,96.82,56.53,41.56,41.85,68.13
r-hand - center_neck,57.92,61.84,51.66,70.92,68.85,87.36,65.05,51.28,60.40,67.29
r-hand - l_sho,68.93,66.42,53.98,74.47,74.02,98.83,71.46,56.49,58.49,75.15
r-hand - r_sho,58.18,58.50,50.04,72.68,39.99,94.72,60.69,58.26,55.04,71.02
r-hand - l-elb,73.34,49.05,34.00,62.71,66.50,90.11,58.88,73.59,37.44,67.67
r-hand - r-elb,27.52,32.32,26.46,39.72,20.34,39.36,31.64,27.12,31.43,32.91
r-hand - l-hand,78.08,27.51,11.19,45.73,66.51,67.52,47.61,88.72,12.04,55.66
center_hip - l-eye,69.44,46.63,37.12,64.84,29.32,89.15,47.73,65.89,29.08,73.62
center_hip - r-eye,72.21,46.75,37.56,66.75,32.83,91.62,47.73,69.55,29.15,75.76
center_hip - l_ear,71.22,54.34,41.94,70.52,39.74,90.25,58.69,61.35,38.70,75.74
center_hip - r_ear,77.66,54.02,42.33,78.08,44.78,94.02,53.27,76.83,38.98,80.90
center_hip - mouth,62.29,36.64,28.87,55.27,23.33,76.28,38.64,60.94,20.07,64.60
center_hip - center_neck,56.01,45.97,35.94,62.36,53.15,67.71,45.35,53.03,38.27,59.89
center_hip - l_sho,53.46,48.23,37.63,57.72,49.53,79.29,48.39,42.49,37.26,62.20
center_hip - r_sho,62.82,51.64,40.05,69.45,43.84,83.03,51.11,58.19,41.16,69.78
center_hip - l-elb,32.70,29.89,19.88,32.49,29.06,56.25,33.50,18.95,19.23,41.02
center_hip - r-elb,56.28,32.30,22.76,55.45,43.06,50.62,34.58,67.53,26.28,49.16
center_hip - l-hand,33.16,26.34,17.78,22.93,25.87,33.62,37.97,30.37,26.35,29.24
center_hip - r-hand,55.32,28.12,20.74,40.08,55.00,35.82,34.18,79.57,27.56,37.23
l-hip - l-eye,71.92,44.99,32.95,67.16,25.00,88.76,46.42,69.36,26.99,76.11
l-hip - r-eye,75.23,50.35,37.02,71.14,31.74,92.57,50.76,72.80,34.50,79.02
l-hip - l_ear,71.94,49.79,36.30,70.91,32.20,91.92,52.48,65.85,32.94,77.84
l-hip - r_ear,81.13,58.19,41.91,83.44,44.25,95.92,56.86,80.70,44.70,84.76
l-hip - mouth,65.24,40.45,29.01,58.70,21.40,76.64,42.08,64.50,25.99,67.66
l-hip - center_neck,59.17,45.91,32.93,65.05,47.17,69.01,45.38,57.81,38.03,62.76
l-hip - l_sho,51.87,39.67,30.39,53.66,39.58,79.46,40.55,44.35,27.03,61.64
l-hip - r_sho,69.53,59.81,42.01,77.16,47.17,86.66,58.77,65.22,50.97,75.82
l-hip - l-elb,27.01,21.63,18.11,22.75,18.34,46.99,25.41,18.11,11.62,34.13
l-hip - r-elb,64.02,44.66,26.80,66.79,51.71,63.17,46.59,72.30,40.96,58.39
l-hip - l-hand,21.56,26.52,24.65,19.96,16.84,19.72,35.95,19.63,33.66,18.61
l-hip - r-hand,63.58,39.16,25.35,50.20,63.37,49.00,44.44,82.48,38.87,46.90
l-hip - center_hip,12.17,14.13,12.49,14.27,13.65,13.98,13.61,11.02,15.46,12.44
r-hip - l-eye,65.83,48.39,41.65,62.46,37.29,89.81,48.73,61.06,34.31,70.39
r-hip - r-eye,67.94,44.57,39.63,62.23,38.08,90.83,45.62,64.71,29.13,71.69
r-hip - l_ear,70.12,56.53,45.65,69.59,48.64,88.74,63.75,55.97,43.36,72.74
r-hip - r_ear,72.86,49.05,42.80,72.09,48.02,92.15,48.82,71.42,35.27,76.11
r-hip - mouth,58.49,38.81,33.77,52.56,31.52,76.54,39.91,56.10,26.16,61.09
r-hip - center_neck,52.33,44.71,38.13,59.41,60.40,67.35,44.00,47.46,38.88,56.70
r-hip - l_sho,54.26,53.88,41.83,61.12,59.75,79.69,53.50,39.66,44.49,61.96
r-hip - r_sho,55.24,42.23,38.48,61.05,43.37,79.30,42.07,50.67,32.88,63.14
r-hip - l-elb,39.20,40.59,23.15,42.46,41.42,66.38,44.31,21.47,30.88,47.73
r-hip - r-elb,47.15,20.72,22.03,44.04,37.00,37.37,22.68,61.18,15.85,39.28
r-hip - l-hand,44.65,34.77,22.90,33.03,37.42,48.21,48.18,39.41,31.52,40.23
r-hip - r-hand,45.64,24.35,27.12,37.89,50.75,24.40,29.80,74.46,28.45,28.76
r-hip - center_hip,11.87,13.35,11.92,13.00,13.11,14.64,13.60,9.63,12.00,12.12
r-hip - l-hip,23.69,26.56,23.64,26.88,26.54,28.52,26.44,20.19,26.36,24.15
l-knee - l-eye,97.37,74.06,63.90,95.14,70.40,111.58,77.75,97.09,58.61,102.13
l-knee - r-eye,100.21,77.83,66.93,97.96,76.08,115.67,80.83,100.08,64.06,104.72
l-knee - l_ear,95.75,78.96,67.14,99.57,77.80,115.11,79.14,94.24,64.37,104.25
l-knee - r_ear,106.16,85.60,71.80,109.95,88.48,119.13,86.93,108.16,74.53,110.35
l-knee - mouth,90.45,66.96,58.10,86.12,65.65,99.67,71.23,92.16,53.90,93.47
l-knee - center_neck,84.84,75.00,64.02,93.17,92.69,92.23,76.76,85.99,69.81,89.00
l-knee - l_sho,77.49,67.32,58.35,81.56,83.57,101.56,70.16,72.11,55.40,87.75
l-knee - r_sho,93.51,83.83,69.43,101.52,88.08,109.10,85.92,92.92,77.68,100.16
l-knee - l-elb,50.77,40.97,35.14,45.54,59.72,64.51,46.42,45.97,29.77,56.11
l-knee - r-elb,84.64,61.39,48.82,85.17,83.82,79.48,65.79,98.16,60.10,77.20
l-knee - l-hand,26.98,26.65,22.47,19.37,46.94,24.81,34.87,21.25,29.61,25.50
l-knee - r-hand,78.59,39.37,27.49,59.05,88.56,53.77,46.08,104.63,37.62,56.30
l-knee - center_hip,31.27,32.86,31.73,33.24,44.43,29.99,34.96,35.40,36.84,31.38
l-knee - l-hip,26.33,30.10,31.25,29.00,45.88,23.29,31.85,28.55,32.03,27.03
l-knee - r-hip,41.37,43.41,39.06,43.58,47.38,42.18,45.71,44.47,46.67,41.08
r-knee - l-eye,98.05,79.32,70.97,88.51,84.99,117.05,81.18,95.57,65.63,99.34
